key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
26030070|Bad End? 다른 선택지도 선택해 보세요~|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Bad End? Let's try other location.|Плохая концовка? Давайте попробуем ещё раз, только по-другому.
26030071|일단 해변으로 가보자.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Let's go to the beach.|Пойдём на пляж.
26030072|네? 해산물 보다는 고기가 낫지 않나요?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Excuse me? Don't you think meat would be better than fish?|Что? Разве вы не думаете, что мясо будет лучше рыбы?
26030073|얌마. 이 숲 속에 소나 돼지가 있을 것 같아?\n고기를 얻으려면 맹수와 싸워야 된다고!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Hey! Do you think we're going to find a cow or pig in this forest?\nYou need to fight and kill a beast if you want to eat meat here!|Эй! Ты думаешь, мы найдём в лесу корову или свинью?\nЕсли хочешь найти здесь мясо, то нужно будет сражаться с хищниками!
26030074|맹수?! …그.. 그건 좀 그렇네요…\n로즈도 그런 이유로 해변으로 가자고 한 거야?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Beast? ...Oh... I'll pass…\nRose, is that why you wanted to go to the beach?|Хищники... ох... нет, я пас...\nРоза, ты поэтому хотела пойти на пляж?
26030075|음... 아까 [00DEFF]{0}[-]님이 훈련이라고 말씀하셨잖아?\n숲 속은 나에겐 별로 훈련이 되질 않을 것 같아서…|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Hmmm... Remember [00DEFF]{0}[-] said this is also a training, before?\nWell... I didn't want to train in the forest.|Хм... Помнишь, [00DEFF]{0}[-] сказал, что это тоже тренировка?\nНу, я не хочу тренироваться в лему.
26030076|훈련이 되질 않는다고?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|You don't like to train in the forest?|Ты не любишь лес?
26030077|응. 나 어릴 적부터 숲 속에서 자랐거든.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Yes. I grew up in the mountains, so there isn't much to learn.|Я выросла в горах, поэтому в лесу мне учиться нечему.
26030078|숲 속에서?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|You grew up in the forest?|Ты выросла в лесу?
26030079|응. 사정이 좀 있어서.\n숲 속에 작은 집을 지어놓고 거기서 살았어.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Yes. It's a long story.\nWe had a small cabin in a forest, and that's where my family lived.|Да. Это долгая история.\nУ нас была небольшая хижина в лесу, там и жила моя семья.
26030080|그랬구나…|I see...|I see...|I see...|I see...|I see...|I see...|I see...|I see...|Понятно...
26030081|(음. 그래서 컴퓨터 같은 전자기기에 서툴렀던 거였군.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Hmm... So that's why she didn't know how to use a computer.)|(Хм-м-м... Вот почему она не знает, как пользоваться компьютером.)
26030082|그리고… 라.. 랍스터라고 하는 걸 먹어보고 싶었거든.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|Anyway... Lob... I think that's what it's called. Lobster? I want to taste it.|К тому же... ома... Так они называются? Омары? Я хочу их попробовать.
26030083|랍..스터?\n그.. 환상적인 맛이라고 소문이 자자한?|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Lobster?\nThat... I heard that it tastes marvelous.|Омары?\n...Я слышала, что это вкусно.
26030084|랍스터라… 음, 그건 확실히 맛있지…|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Lobster... yes! It sure does taste exquisitely good.|Омары... да! Вкус у них изысканно хороший.
26030085|네? [00DEFF]{0}[-]님은 드셔 보셨나요?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Excuse me? Have you ever tried it, [00DEFF]{0}[-]?|Что? [00DEFF]{0}[-], вы пробовали омаров?
26030086|정말 대단해요~!!|You're amazing!|You're amazing!|You're amazing!|You're amazing!|You're amazing!|You're amazing!|You're amazing!|You're amazing!|Вы невероятны!
26030087|크윽!! 인정하긴 싫지만…\n이번만큼은 저의 패배에요…|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Kkk...arrgg... I hate to admit it but…\nyou win this time.|Уг... аг-х... не хочу это признавать...\nНо на этот раз вы победили.
26030088|뭔 소릴 하는 거냐 넌…\n뭐, 리프 인트라넷에서 확인해 보니 다행이 이 근처가 랍스터 서식지라고 하는 군.\n잘 하면 진짜 잡을 수도 있겠어.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|What are you talking about?\nI check on the Intranet and I read that the area around here is the breeding area for lobsters.\nMaybe we may get lucky.|Ты о чём?\nЛадно, я проверил в интранете, эта область — место размножения омаров.\nМожет, нам сегодня повезёт.
26030089|정말인가요?|For real?|For real?|For real?|For real?|For real?|For real?|For real?|For real?|Правда?
26030090|자, 그럼 해변으로 가 볼까?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Alright. Shall we get moving?|Хорошо. Пойдём?
26030091|네~~|Yes!|Yes!|Yes!|Yes!|Yes!|Yes!|Yes!|Yes!|Да!
26030092|1시간 뒤.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|Через час.
26030093|지.. 진짜 랍스터에요!!\n대단해요!!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|It's a real... A real lobster!\nAmazing!|Настоящий... Настоящий омар!\nПоразительно!
26030094|인터넷에서 봤던 거랑 똑같아…|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|It looks exactly like the one I saw on the internet.|Он выглядит точно так же, как тот, который я видела в Интернете.
26030095|정말 랍스터야!\n대체 무슨 수작을 부린 거죠?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|It's a real lobster!\nWhat trick did you use?|Это настоящий омар!\nКакой трюк вы использовали?
26030096|임마 수작이라니…\n랍스터 정도는 간단한 통발로 잡을 수 있다고.\n물론 손으로도 잡을 수도 있고.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|What do you mean, trick?\nYou can catch a lobster with a simple trap.\nOr even with bare hands.|В каком смысле «трюк»?\nОмара можно поймать с помощью простой ловушки.\nИли даже голыми руками.
26030097|통발?|A trap?|A trap?|A trap?|A trap?|A trap?|A trap?|A trap?|A trap?|Ловушки?
26030098|내가 아까 만드는 거 보여 줬잖아.|I showed you before.|I showed you before.|I showed you before.|I showed you before.|I showed you before.|I showed you before.|I showed you before.|I showed you before.|Я уже показывал её.
26030099|정말 그 따위 것으로 이 랍스터님을…|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|For real? You can catch this lobster with that?|Серьёзно? Можно поймать омара с этим?
26030100|존칭은 랍스터가 아니라 나에게 좀 붙여주렴…|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Now will you show me some respect?|Теперь ты проявишь немного уважения?
26030101|대단해요! [00DEFF]{0}[-]님은 정말 못하시는 게 없는 것 같아요!|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|You're awesome! Is there anything you can't do, [00DEFF]{0}[-]?|Вы восхитительны! [00DEFF]{0}[-], есть что-то, чего вы не умеете?
26030102|한때 세계를 떠돌면서 정말 다양한 일을 해봤으니까.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|I think I've tried just about everything as I traveled the world.|Ну, я перепробовал почти всё, так как много путешествовал.
26030103|다음에 저에게도 가르쳐 주세요.|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Can you teach me some of them?|Можете ли вы научить меня чему-нибудь?
26030104|으으… 로즈는 정말 기특하구나!!\n쓰담쓰담 해줄게~~|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|Oh, Rose... you are so lovely!\n*patting on the head*|О, Роза... ты такая милая!\n*Гладит по голове*
26030105|에헤헤…|Hee, hee...|Hee, hee...|Hee, hee...|Hee, hee...|Hee, hee...|Hee, hee...|Hee, hee...|Hee, hee...|Хи-хи...
26030106|좋아! 모처럼이니까 그걸 해줄게.|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Alright! Since this is the first time for you all, I'll make that special dish!|Хорошо! Поскольку это первый раз для всех вас, сегодня я приготовлю особенное блюдо!
26030107|네? 그거? 그게 뭐죠?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Excuse me? Special? What's special?|Что? Особенное? Что в нём особенного?
26030108|그.. 그거라니 또 무슨 짓을 하려고…|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Special... What are you up to, now?|Особенное... что вы задумали?
26030109|너 진짜 음란마귀가 가득 찼구나?\n그런 거 아니거든!!\n뭐, 보고 있으라고.|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|You must be full of suspicions.\nSpecial as in special food!\nWatch!|Сколько в тебе подозрений.\nОсобенное, как особенная еда!\nПросто смотри!
26030110|서바이벌 나이프? 그걸로 뭘…\n꺅!!|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Survival knife? What are you going to do with that?\n*scream*|Нож? Что вы собираетесь делать?\n*Кричит*
26030111|으아아…\n왜 여기서 랍스터를 막 분해하는 거에욧!!|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Hey!\nWhy are you tearing up the lobster, here?|Эй!\nЗачем вы разделываете омара?
26030112|분해라니… \n뭐, 보고 있으라고.|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|I'm not tearing up the lobster.\nJust watch!|Я не просто разделываю.\nСмотри!
26030113|와~ 훌륭한 솜씨에요!!\n깔끔하게 해체됐어요!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Wow! Amazing!\nEverything is removed except for clean meat!|Ого! Удивительно!\nВы удалили всё, кроме чистого мяса!
26030114|로즈 넌 괜찮아?\n막 내장이 나오고 그러는데?|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Rose, are you okay with this?\nIt's intestine is out, and stuff.|Роза, ты как?\nУ него же все внутренности наружу.
26030115|응. 이 정도는 괜찮아.\n게다가 [00DEFF]{0}[-]님이 솜씨가 좋으셔서 랍스터도 편안하게 갔으니까…|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Oh... This doesn't bother me.\nAnd [00DEFF]{0}[-] even killed the lobster painlessly, I'm sure.|Ох... Меня это не беспокоит.\nИ [00DEFF]{0}[-], я уверена, убил омара безболезненно.
26030116|편안하게 갔다니…|Painlessly?|Painlessly?|Painlessly?|Painlessly?|Painlessly?|Painlessly?|Painlessly?|Painlessly?|Безболезненно?
26030117|자, 다 됐다. 다들 먹어봐.|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Okay! It's ready! Let's eat!|Итак! Готово! Давайте есть!
26030118|이.. 이건!!|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Hmm... Isn't that?|Хм-м... Правда?
26030119|랍스터 회야.\n갓 잡았을 때만 맛볼 수 있는 진미지.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Lobster Sashimi!\nIt's a delicacy that can be had only with the freshly caught lobster.|Сашими из омара!\nЭтот деликатес можно получить только со свежепойманного омара.
26030120|나.. 날것을 그대로 먹는다고요?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|You're... You're going to eat it raw?|Вы... вы собираетесь съесть его сырым?
26030121|날것이라니..\n설마 너 회를 먹어본 적이 없는 거야?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Raw?\nYou mean you never tried Sashimi before?|Сырым?\nТы никогда не пробовала сашими?
26030122|무.. 물론 있죠! 절 뭘로 보고..\n……설마 안에 이상한 걸 넣은 것 아니겠죠?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Of course... Sure I've tried it before! It's just that...\n……you didn't put anything weird inside, did you?|Конечно... конечно, я пробовала его раньше! Просто...\n...Вы же не положили ничего странного внутрь?
26030123|혹시나 해서 가져온 비장의 소스를 살짝 뿌리긴 했지.\n이상한 건 아니니까 속는 셈 치고 먹어봐.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|I did dab it with my secret sauce.\nIt's nothing weird so just try it.|Там только мой секретный соус.\nНичего странного, так что просто попробуй.
26030124|자.. 잘 먹겠습니다.|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Alright. Bon appetit!|Хорошо. Приятного аппетита!
26030125|자, 로즈도 어서 먹어봐.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Go ahead, Rose. Try it.|Вперёд, Роза. Попробуй.
26030126|네~ 잘먹겠습니다~~|Thank you.|Thank you.|Thank you.|Thank you.|Thank you.|Thank you.|Thank you.|Thank you.|Спасибо.
26030127|함! 우물우물우물…|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Munch* *chewing*|*Ням*\n*Жуёт*
26030128|아!|Oh!|Oh!|Oh!|Oh!|Oh!|Oh!|Oh!|Oh!|Ох!
26030129|앗!\n뭐.. 뭐야 이거!!|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Hmm...\nummm.. What do you call this?|Хм-м...\nЭм-м-м... как вы сказали это называется?
26030130|굼벵이도 구르는 재주가 있다더니…|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|I never expected for you to have this talent.|Никогда бы не подумала, что у вас есть такой талант.
26030131|넌 좀 솔직하게 칭찬하는 법을 배우는 게 좋을 것 같다.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|I think you need to learn how to compliment others in a better way.|Думаю, тебе стоит научиться делать комплименты лучше.
26030132|너.. 너무 맛있어요!!\n특히 살짝 뿌려진 폰즈 소스가 너무 절묘해요!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|It's... It's so delicious!\nEspecially the sauce! That makes it extra tasty!|Это... это так вкусно!\nОсобенный соус делает его ещё вкуснее!
